pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10,index,平均值
54.09268438899225,68.96254466681907,60.35197868975693,67.23956878341878,58.16647242765274,69.35919729625513,61.47181472440458,65.25569454456252,74.03869328113238,67.36303758072704,96,64.77920633799759
64.81733794231371,72.7786408774398,63.469860870644894,85.23101921219381,62.14845827130064,73.70964574921044,66.67263793191462,62.860923784240775,69.88015190274578,53.78048391126745,26,66.08971594008574
61.242453424539896,78.50278519337091,63.469860870644894,66.95235717585612,62.14845827130064,67.53454405014276,61.47181472440458,56.57680160985776,55.61440824702641,58.91326680818616,41,65.90318195860854
64.81733794231371,61.33035224557759,64.44357655243743,74.65844255442138,64.1394511931246,82.13177001904177,61.47181472440458,65.98864162081796,65.72161052435919,76.68030998992458,90,68.041806662678
61.242453424539896,74.68668898275017,58.05515971871037,64.1311825126813,62.14845827130064,52.93731808124375,69.27304953566964,64.98321344974933,69.01489234717863,65.03405103355644,86,64.20033775113353
68.39222246008754,61.33035224557759,63.469860870644894,65.54176984426871,62.14845827130064,62.06058431180563,61.47181472440458,57.40108880896175,57.34565296487314,63.57117098573445,45,63.48786610401279
79.11687601340901,72.7786408774398,71.68594136160226,69.86356492323173,68.12143703677249,76.65781028070464,69.27304953566964,66.35780154502638,62.9492496054348,58.045765171529496,93,69.56326121727999
64.81733794231371,68.96254466681907,66.78351750852975,59.38754063088696,80.08829600413819,63.885237557918,64.0722263281596,80.64346838381995,60.1768886865104,69.22649206256655,170,65.41774925040244
64.81733794231371,72.7786408774398,63.469860870644894,66.95235717585612,62.14845827130064,62.06058431180563,66.67263793191462,56.66558844839631,55.918451783285576,59.979177232684165,40,65.55712534018218
62.65104513084941,61.33035224557759,63.469860870644894,71.18411917061835,62.14845827130064,67.53454405014276,61.47181472440458,63.922068616995055,70.1447353633123,74.36820797526362,112,64.43731684995484
57.66756890676607,57.7330741082509,66.78351750852975,59.89942051791908,64.1394511931246,58.41127781958088,78.69214167845055,81.86890209705189,82.35577603790557,65.49958309888754,185,64.96522786895908
64.81733794231371,68.96254466681907,63.469860870644894,75.41588116538058,62.14845827130064,78.90223665130449,50.68043928962176,59.67748928597795,60.1768886865104,57.040220459974265,1,64.9526372698496
61.242453424539896,48.38500134361202,63.469860870644894,52.006101464695305,79.93132392984015,62.06058431180563,61.47181472440458,66.04435828250361,76.81105420005677,74.81685550808508,197,66.5595687602915
64.81733794231371,67.0544965615087,64.34274140805182,74.00529383379317,64.1394511931246,67.53454405014276,66.67263793191462,70.28893761352072,64.60197446216817,72.34450623821236,89,67.7875284466169
75.54199149563519,68.45325990162306,76.72448742218437,64.1503747531695,70.85928301344853,69.35919729625513,77.07428434693472,66.04435828250361,72.65251282167019,67.36303758072704,121,72.10855274941575
71.96710697786136,74.68668898275017,64.29921047973711,64.1311825126813,66.13044411494855,62.06058431180563,69.27304953566964,71.35008244627498,66.43952959511488,65.36653929399839,80,68.5141626974274
73.55287048809123,67.0544965615087,70.09717414641463,68.36294450744353,84.71978271913258,62.06058431180563,79.10534568924778,75.59466177729209,67.10779098382139,78.54376447176409,161,69.83163096572143
79.11687601340901,64.27277280847007,73.41083078429949,66.05304166100791,70.80471538384326,73.00850378847989,71.87346113942466,69.22779278076644,72.65251282167019,74.81685550808508,120,73.44383326230498
75.54199149563519,61.6906644128294,89.83519064455582,59.57348886506935,70.11242995859644,67.53454405014276,74.47387274317968,71.35008244627498,68.49397144328358,69.22649206256655,155,70.9619120285256
74.24056180538534,72.7786408774398,73.41083078429949,69.77353183903094,68.12143703677249,65.70989080403038,71.87346113942466,72.41122727902926,72.41643734556375,72.53336612988305,114,70.58271710857528
