0,1,2,3,4,5,6,7,8,9,index
74,74,76,72,63,60,68,81,52,80,176
77,79,77,69,64,61,68,80,62,77,148
78,73,77,72,64,56,70,80,68,74,6
76,81,77,71,64,61,67,75,56,78,47
75,80,76,67,63,64,66,75,67,78,198
75,80,77,69,64,63,68,76,67,76,191
75,75,78,68,65,58,68,81,67,78,180
77,78,78,70,65,64,69,82,61,80,64
76,75,77,64,64,63,66,77,65,83,171
77,79,77,72,64,64,68,78,62,77,7
77,78,78,77,65,58,70,79,69,74,100
80,81,80,69,67,59,71,85,68,86,162
78,75,78,69,65,59,69,84,77,79,160
83,76,83,75,70,66,73,84,62,83,97
78,78,79,77,66,65,69,84,70,79,138
80,76,79,75,66,64,70,84,70,81,146
81,81,81,77,68,64,72,83,77,79,147
78,79,79,77,66,66,70,85,66,75,88
82,80,81,79,68,66,71,84,60,81,9
80,88,82,77,69,67,72,86,78,87,82
86,88,87,80,74,67,78,84,66,83,60
83,81,84,82,71,64,76,84,66,93,172
82,86,84,80,71,73,75,84,69,88,164
88,91,87,80,74,69,79,86,73,83,182
84,81,85,86,72,67,76,90,79,90,4
87,88,87,82,74,69,79,89,72,83,152
86,85,87,85,74,72,79,92,74,86,133
87,86,88,82,75,73,78,84,67,91,14
87,95,89,85,76,71,80,95,83,87,150
92,90,93,86,80,79,82,96,76,87,68
