pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10
1,1,1,2,2,,,,,
1,1,,1,,2,2,,,
1,,1,,1,,,2,2,
1,2,,1,,1,,,,2
1,,2,2,1,,1,,,
1,,,,,1,2,1,2,
2,1,1,,,,,,1,2
,1,2,1,2,,,,1,
,1,,,1,2,1,2,,
2,1,,,1,,,,1,2
,2,1,1,2,1,,,,
,,1,1,,2,1,2,,
,,1,,,,1,1,2,2
2,2,,,,,1,1,1,
,,2,2,1,,,1,,1
,,,,1,1,2,2,,1
,,,2,,1,,1,2,1
2,2,,,,1,1,,,1
,,2,1,2,,,,1,1
,,,,,2,2,1,1,1
