pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10,index
74.0,74.0,76.0,65.76392643022739,65.56820123819959,60.0,68.0,76.76480022631597,52.0,80.0,176
75.32567549953325,74.73675064247666,77.0,69.0,64.0,58.74954840437754,68.0,80.0,62.0,77.0,148
78.0,73.0,77.0,72.0,64.0,66.09958560633613,74.27996050730553,80.0,68.0,87.09153136760969,6
76.0,81.0,77.0,71.0,64.0,61.0,67.0,81.82560213767164,63.23684064239902,83.9282431176516,47
75.0,72.95360786056222,76.0,65.14787421666136,67.54158732750234,64.0,66.0,75.0,67.0,78.0,198
75.0,73.43505787165756,77.0,65.80164004240841,67.39414405034833,63.0,68.0,76.0,67.0,76.0,191
75.0,73.64978023519674,78.0,68.0,65.0,58.0,64.6400298123096,78.68565860414678,67.0,78.0,180
77.0,78.0,78.0,75.7643310683908,62.50014149579207,64.21341642493263,69.0,82.0,61.0,80.0,64
76.0,75.0,77.0,67.9701336412414,67.76562596658675,63.0,66.0,79.5040622997247,65.0,83.0,171
77.0,79.0,77.0,72.0,64.0,66.05376372311137,73.99364026130725,78.0,62.0,87.04930754504082,7
78.7631399637794,78.0,78.0,77.0,65.0,58.0,70.62105225423562,79.0,69.0,81.09166197321531,100
78.15094439811641,81.0,80.0,69.0,69.61350461867076,59.0,68.55635313989355,85.0,68.0,86.0,162
77.07425232370709,75.0,78.0,69.0,68.4188177288321,59.0,67.45094733404645,84.0,77.0,79.0,160
83.0,76.0,80.41085578305113,76.46733550478048,70.0,66.0,73.0,84.16644054336007,62.0,83.0,97
78.0,78.0,77.92749973180662,71.97766239696398,66.0,65.0,69.0,84.0,70.0,79.22706537978921,138
78.99084994841073,78.23716411540255,79.0,75.0,66.0,62.32196709939304,70.0,84.0,70.0,81.0,146
80.52120965951623,79.58305835996092,81.0,77.0,68.0,63.735088796440785,72.0,83.0,77.0,79.0,147
78.0,79.0,79.96903465595439,77.0,66.0,66.0,70.0,85.0,66.8618888535266,83.65243097665316,88
82.0,80.0,81.0,79.0,68.0,69.85972812928324,77.63654206191896,84.0,60.0,90.86787978332315,9
80.0,88.0,82.70121461357539,77.0,69.0,67.0,72.0,86.0,69.14055391233035,86.3811505395843,82
86.0,88.0,87.0,82.65683242398944,68.59584840003755,71.27286035858488,78.0,84.0,66.0,83.0,60
83.0,81.0,84.0,73.89820760224012,73.81975899123731,64.0,76.0,85.75363302482359,66.0,93.0,172
83.29835086072812,86.0,84.0,80.0,74.58251198579083,73.0,73.56652486297597,84.0,69.0,88.0,164
88.0,82.7991904441424,87.0,80.0,74.0,69.0,73.6695217424624,87.71430358162031,73.0,83.0,182
84.0,81.0,85.0,86.0,72.0,74.92079910472489,83.06914949718347,90.0,79.0,95.62493336824045,4
87.0,83.58160937913165,83.82556850816478,77.08862966591427,74.0,69.0,79.0,89.0,72.0,83.0,152
86.0,85.0,85.58792738493956,79.62034232204206,74.0,72.0,79.0,92.0,74.0,86.89622567243411,133
87.0,86.0,88.821607126635,82.0,68.50121661022285,73.0,78.0,91.78037098533892,67.0,91.0,14
87.0,86.62980829618827,86.90077546653393,79.80040942416215,76.0,71.0,80.0,95.0,83.0,87.0,150
92.0,90.0,93.0,87.55900547938003,75.08018897712826,76.46571035307267,82.0,96.0,76.0,87.0,68
