pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10
,,,72.0,,56.0,,72.0,72.0,76.0
,,,,,,,,,
,,,72.0,,58.0,,75.0,67.0,72.0
,,,,,,,,,
,,,,,,,,,
71.0,72.0,,,,55.0,62.0,,,72.0
76.0,75.0,,,,63.0,66.0,,,83.0
83.0,81.0,,,,64.0,76.0,,,93.0
,,,,,,,,,
,,,,,,,,,
67.0,67.0,,,,52.0,59.0,,,77.0
74.0,74.0,,,,60.0,68.0,,,80.0
71.0,74.0,,,,62.0,63.0,,,81.0
,,,,,,,,,
,,,,,,,,,
,,78.0,68.0,65.0,,,,67.0,78.0
,,,,,,,,,
,,87.0,80.0,74.0,,,,73.0,83.0
,,,,,,,,,
,,67.0,62.0,54.0,,,,53.0,61.0
,,72.0,62.0,59.0,,,,70.0,70.0
,,69.0,65.0,56.0,,,,56.0,64.0
,,,,,,,,,
,,69.0,67.0,56.0,,,,59.0,73.0
,,,,,,,,,
,,,,,47.0,53.0,67.0,51.0,64.0
,,,,,63.0,68.0,76.0,67.0,76.0
,,,,,41.0,51.0,56.0,50.0,68.0
,,,,,,,,,
,,,,,,,,,
,,,,,64.0,64.0,74.0,71.0,71.0
,,,,,,,,,
,,,,,54.0,61.0,74.0,66.0,75.0
,,,,,64.0,66.0,75.0,67.0,78.0
,,,,,,,,,
