0,1,2,3,4,5,6,7,8,9,10
1,1,0,0,1,1,1,0,1,1,96
1,1,1,0,1,0,1,1,1,0,26
1,1,1,1,1,1,1,0,0,0,41
1,1,0,0,1,1,1,0,1,1,90
1,1,0,1,1,1,1,1,0,0,86
1,1,1,1,1,1,1,0,0,0,45
1,1,0,0,1,1,1,0,1,1,93
1,1,1,0,0,1,1,0,1,1,170
1,1,1,1,1,1,1,0,0,0,40
0,1,1,1,1,1,1,1,0,0,112
1,0,1,1,1,1,0,0,1,1,185
1,1,1,1,1,0,0,1,1,0,1
1,0,1,0,0,1,1,1,1,1,197
1,1,0,1,1,1,1,1,0,0,89
1,0,1,0,0,1,1,1,1,1,121
1,1,0,1,1,1,1,1,0,0,80
0,1,1,1,0,1,0,1,1,1,161
1,0,1,0,0,1,1,1,1,1,120
1,0,0,0,1,1,1,1,1,1,155
0,1,1,1,1,1,1,1,0,0,114
