pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10,平均值
,,,,,,,,,,54.07338680560584
69.26129673947173,66.56206657785982,66.08244527229418,,,,,,,,67.30193619654192
,,,,,,,,,,46.46755215601858
57.30454395951286,49.35395087237361,56.59442082236464,,,,,,,,54.41763855141704
84.80507535341827,77.62442667424384,82.68648805967088,,,,,,,,81.705330029111
,,,,,,,,,,46.83734520496438
77.63102368544295,67.79121769968027,73.19846360974134,,,,,,,,72.87356833162153
76.43534840744707,75.16612443060293,73.19846360974134,,,,,,,,74.93331214926378
,,,,,,,,,,41.62757157814061
82.4137247974265,76.39527555242339,77.9424758347061,,,,,,,,78.91715872818533
60.89156979350052,59.18715984693716,,55.92446487659125,,,,,,,58.66773150567631
,,,,,,,,,,55.83207990035547
,,,,,,,,,,50.166317514202255
64.47859562748819,65.33291545603939,,65.46327114301366,,,,,,,65.09159407551375
88.39210118740594,83.77018228334605,,88.11793602576691,,,,,,,86.7600731655063
,,,,,,,,,,53.03544496334766
68.06562146147584,61.64546209057805,,75.00207740943608,,,,,,,68.23772032049665
,,,,,,,,,,52.63799470224672
66.86994618347997,59.18715984693716,,59.50151722649965,,,,,,,61.852874418972256
63.2829203494923,56.72885760329628,,55.92446487659125,,,,,,,58.645414276459945
65.67427090548408,,64.89644221605299,,64.623373949212,,,,,,65.06469569024968
58.500219237508745,,57.78042387860583,,57.51586799753492,,,,,,57.9321703712165
,,,,,,,,,,49.610890832344445
66.86994618347997,,63.7104391598118,,63.43878962393248,,,,,,64.67305832240808
72.8483225734594,,70.82645749725896,,70.54629557560955,,,,,,71.40702521544263
,,,,,,,,,,55.561582989695786
69.26129673947173,,66.08244527229418,,65.80795827449151,,,,,,67.05056676208581
63.2829203494923,,62.5244361035706,,62.25420529865297,,,,,,62.68718725057196
,,,,,,,,,,55.95322035753741
,,,,,,,,,,57.14197457737627
54.913193403521085,,,51.15506174338003,,50.66703977961437,,,,,52.2450983088385
,,,,,,,,,,50.24582331941354
56.108868681516974,,,51.15506174338003,,56.514928331185736,,,,,54.592952918694245
64.47859562748819,,,66.65562192631646,,65.87155001369992,,,,,65.66858918916819
66.86994618347997,,,67.84797270961927,,75.22817169621409,,,,,69.98203019643778
60.89156979350052,,,63.07856957640806,,64.70197230338565,,,,,62.89070389109808
,,,,,,,,,,45.13321526030566
50.130492291537536,,,60.69386800980245,,41.3104180971002,,,,,50.71159279948006
,,,,,,,,,,33.67957730702623
,,,,,,,,,,49.48776975396152
69.26129673947173,,,,65.80795827449151,,67.06105954735084,,,,67.37677152043803
68.06562146147584,,,,65.80795827449151,,64.65334462890401,,,,66.17564145495713
,,,,,,,,,,42.285224689203794
,,,,,,,,,,44.67736345794551
59.69589451550464,,,,56.33128367225541,,57.43019987356349,,,,57.81912602044118
70.45697201746762,,,,65.80795827449151,,64.65334462890401,,,,66.97275830695439
,,,,,,,,,,40.29612954344943
75.23967312945118,,,,72.91546422616858,,71.87648938424451,,,,73.34387557995476
66.86994618347997,,,,64.623373949212,,65.85720208812742,,,,65.78350740693979
,,,,,,,,,,48.653614568461656
,,,,,,,,,,55.33346256730272
56.108868681516974,,,,,62.362816882757095,,54.59714691261129,,,57.68961082562845
,,,,,,,,,,46.364672417773846
66.86994618347997,,,,,62.362816882757095,,73.11134271436013,,,67.44803526019906
63.2829203494923,,,,,53.00619520024292,,65.01138205109501,,,60.43349920027674
,,,,,,,,,,51.82391835484545
,,,,,,,,,,47.14357980980223
62.08724507149641,,,,,61.19323917244282,,60.382833100657805,,,61.22110578153234
64.47859562748819,,,,,64.70197230338565,,56.91142138782989,,,62.03066310623458
57.30454395951286,,,,,60.02366146212855,,61.5399703382671,,,59.62272525330284
,86.22848452698695,85.05849417215327,,,,,,75.4657331178594,,82.25090393899987
,66.56206657785982,66.08244527229418,,,,,,59.22387015154774,,63.95612733390058
,,,,,,,,,,39.99722560293798
,,,,,,,,,,50.87550613831246
,73.9369733087825,74.38446666598253,,,,,,69.66506777274809,,72.66216924917104
,,,,,,,,,,49.869159946684135
,,,,,,,,,,37.76898353529103
,67.79121769968027,64.89644221605299,,,,,,67.34480163470357,,66.67748718347895
,88.68678677062783,92.17451250960042,,,,,,87.06706380808201,,89.3094543627701
,65.33291545603939,63.7104391598118,,,,,,66.1846685656813,,65.0760077271775
,55.49970648147583,,61.88621879310525,,,,,63.86440242763678,,60.41677590073929
,,,,,,,,,,52.13017322194364
,59.18715984693716,,60.69386800980245,,,,,49.94280559936965,,56.60794448536976
,,,,,,,,,,54.12969130695421
,61.64546209057805,,65.46327114301366,,,,,67.34480163470357,,64.81784495609843
,72.70782218696205,,73.80972662613328,,,,,68.50493470372584,,71.67416117227373
,55.49970648147583,,66.65562192631646,,,,,53.42320480643643,,58.52617773807625
,,,,,,,,,,31.398463560754838
,60.41631096875761,,60.69386800980245,,,,,68.50493470372584,,63.20503789409529
,,,,,,,,,,37.812845022042765
,70.24951994332116,,,68.17712692505053,,68.26491700657425,,,,68.89718795831531
,,,,,,,,,,58.454126279952
,86.22848452698695,,,78.83838585256613,,77.8957766803616,,,,80.98754901997155
,,,,,,,,,,61.2755719247744
,,,,,,,,,,49.16192404340551
,,,,,,,,,,60.79599442502964
,70.24951994332116,,,65.80795827449151,,68.26491700657425,,,,68.10746507479564
,67.79121769968027,,,61.06962097337346,,58.63405733278691,,,,62.49829866861355
,75.16612443060293,,,75.2846328767276,,75.48806176191476,,,,75.31293968974843
,65.33291545603939,,,66.99254259977101,,67.06105954735084,,,,66.46217253438708
,61.64546209057805,,,66.99254259977101,,,,66.1846685656813,,64.94089108534347
,,,,,,,,,,49.91656177138068
,,,,,,,,,,59.00600433741463
,69.02036882150071,,,69.36171125033005,,,,63.86440242763678,,67.41549416648918
,69.02036882150071,,,63.43878962393248,,,,62.704269358614525,,65.05447593468257
,,,,,,,,,,61.44130056345612
,66.56206657785982,,,63.43878962393248,,,,73.14546697981487,,67.71544106053572
,71.47867106514161,,,80.02297017784565,,,,70.82520084177035,,74.10894736158588
,,,,,,,,,,55.06172563578984
,72.70782218696205,,,69.36171125033005,,,,60.38400322057,,67.48451221928737
,,74.38446666598253,82.1561821092529,,71.71943856527128,,,,,76.0866957801689
,,73.19846360974134,71.42502505952767,,76.39774940652836,,,,,73.6737460252658
,,62.5244361035706,63.07856957640806,,65.87155001369992,,,,,63.82485189789285
,,63.7104391598118,66.65562192631646,,65.87155001369992,,,,,65.41253703327605
,,,,,,,,,,57.53695546001668
,,,,,,,,,,57.16016236288374
,,57.78042387860583,63.07856957640806,,58.85408375181428,,,,,59.90435906894272
,,,,,,,,,,53.97259856423148
,,,,,,,,,,52.80426415118512
,,60.15242999108822,66.65562192631646,,60.02366146212855,,,,,62.27723779317774
,,,,,,,,,,55.05857075621725
,,57.78042387860583,64.27092035971086,,,56.22634241434008,,,,59.42589555088559
,,66.08244527229418,73.80972662613328,,,64.65334462890401,,,,68.18183884244382
,,62.5244361035706,63.07856957640806,,,62.245629710457166,,,,62.61621179681194
,,69.64045444101777,72.61737584283047,,,69.46877446579768,,,,70.57553491654865
,,,,,,,,,,44.69576453607479
,,,,,,,,,,52.66831398135178
,,58.96642693484703,66.65562192631646,,,58.63405733278691,,,,61.41870206465013
,,62.5244361035706,65.46327114301366,,,63.44948716968058,,,,63.81239813875495
,,,,,,,,,,52.2649122525901
,,69.64045444101777,,,,69.46877446579768,71.95420547675083,,,70.35447812785543
,,70.82645749725896,,,,71.87648938424451,68.48279376392293,,,70.3952468818088
,,62.5244361035706,,,,64.65334462890401,62.69710757587641,,,63.291629436117006
,,58.96642693484703,,,,59.83791479201033,59.2256958630485,,,59.34334586330196
,,,,,,,,,,56.13166982926713
,,,,,,,,,,40.770968172157474
,,,,,,,,,,58.5311522842757
,,67.26844832853537,,,,67.06105954735084,65.01138205109501,,,66.44696330899374
,,72.01246055350015,,,,70.6726319250211,68.48279376392293,,,70.38929541414807
,,,,,,,,,,58.92648663635611
,,,,,,,,,,37.51539544146138
,,,,,,71.87648938424451,75.42561718957874,71.98533391079262,,73.09581349487196
,,,,,,59.83791479201033,61.5399703382671,55.74347094448096,,59.04045202491947
,,,,,,86.32277889492553,89.31126404089038,84.7467976700375,,86.79361353528446
,,,,,,,,,,58.60143347780309
,,,,,,59.83791479201033,67.32565652631362,60.38400322057,,62.51585817963132
,,,,,,65.85720208812742,61.5399703382671,58.06373708252548,,61.82030316964
,,,,,,,,,,57.85516380431371
,,,,,,74.28420430269135,80.05416614001595,80.10626539394845,,78.1482119455519
,,,,,,,,,,53.919174032454855
,,,,61.06962097337346,,,59.2256958630485,,64.10022013154251,61.46517898932149
,,,,,,,,,,51.36501083237072
,,,,55.1466993469759,,,53.44000967500198,,59.484506179513886,56.02373840049726
,,,,55.1466993469759,,,54.59714691261129,,67.56200559556399,59.10195061838372
,,,,,,,,,,49.427299740465145
,,,,,,,,,,50.60915253572554
,,,,75.2846328767276,,,80.05416614001595,,76.79343349962124,77.37741083878826
,,,,77.65380152728662,,,78.89702890240665,,74.48557652360694,77.01213565110007
,,,,72.91546422616858,,,75.42561718957874,,72.17771954759262,73.50626698778
,,,,,,,,,,54.51095222400619
,,,,87.13047612952272,86.92394879935682,,,,83.7170044276642,85.92380978551459
,,,,,,,,,,52.81242375576321
,,,,84.7613074789637,84.58479337872828,,,,79.10129047563557,82.81579711110918
,,,,,,,,,,48.88360395567121
,,,,,,,,,,36.03082398155854
,,,,70.54629557560955,70.549860854957,,,,66.40807710755684,69.16807784604113
,,,,62.25420529865297,67.04112772401419,,,,57.17664920349957,62.157327408722246
,,,,,,,,,,49.67875744907388
,,,,61.06962097337346,69.38028314464273,,,,56.02272071549241,62.15754161116954
,,,,58.70045232281444,58.85408375181428,,,,61.7923631555282,59.78229974338564
,,,,,72.88901627558555,,80.05416614001595,,74.48557652360694,75.80958631306947
,,,,,67.04112772401419,,78.89702890240665,,72.17771954759262,72.70529205800449
,,,,,72.88901627558555,,81.21130337762526,,82.56307593965704,78.88779853095595
,,,,,,,,,,46.02544394807003
,,,,,89.26310421998537,,80.05416614001595,,84.87093291567136,84.72940109189089
,,,,,69.38028314464273,,66.16851928870432,,71.02379105958546,68.85753116431084
,,,,,,,,,,34.049089147169944
,,,,,71.71943856527128,,69.63993100153223,,66.40807710755684,69.25581555812012
,,,,,,,,,,39.07565947428069
,,,,,,,,,,43.35060102286068
,,,,,68.21070543432846,65.85720208812742,,,66.40807710755684,66.82532821000423
,,,,,77.56732711684265,70.6726319250211,,,79.10129047563557,75.7804165058331
,,,,,78.7369048271569,82.71120651725528,,,90.64057535570714,84.02956223337311
,,,,,,,,,,52.69923058941942
,,,,,,,,,,64.48418525317908
,,,,,64.70197230338565,62.245629710457166,,,72.17771954759262,66.37510718714515
,,,,,74.05859398589982,73.08034684346794,,,75.63950501161409,74.25948194699394
,,,,,76.39774940652836,67.06105954735084,,,76.79343349962124,73.41741415116682
,,,,,,,,,,51.49537313019601
,,,,,,,,,,66.08411212470793
,,,71.42502505952767,,,,,76.62586618688167,73.33164803559978,73.7941797606697
,,,,,,,,,,30.614532915736746
,,,85.7332344591613,,,,,83.58666460101523,79.10129047563557,82.80706317860403
,,,,,,,,,,51.66374619582359
,,,64.27092035971086,,,,,60.38400322057,53.7148637394781,59.456595773252985
,,,64.27092035971086,,,,,80.10626539394845,64.10022013154251,69.49246862840062
,,,67.84797270961927,,,,,63.86440242763678,57.17664920349957,62.96300811358521
,,,,,,,,,,53.12793938598188
,,,70.23267427622487,,,,,67.34480163470357,67.56200559556399,68.37982716883081
,,,,,,,,,,57.85231737314734
,,,,,,,60.382833100657805,58.06373708252548,57.17664920349957,58.54107312889428
,,,,,,,70.79706823914152,76.62586618688167,71.02379105958546,72.81557516186955
,,,,,,,47.65432348695547,56.90360401350322,61.7923631555282,55.45009688532897
,,,,,,,,,,46.96406395362399
,,,,,,,,,,46.58969111991704
,,,,,,,68.48279376392293,81.2663984629707,65.25414861954968,71.66778028214777
,,,,,,,,,,54.67881400571556
,,,,,,,68.48279376392293,75.4657331178594,69.86986257157831,71.27279648445354
